Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002573,0.0,374.0,0.5,4.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,78.5,22830.0,0.002573,0.0,374.0,0.5,1.3333
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,100,sudden,0.25,1.0,0.4,133.0,33940.0,0.002536,0.0,354.6667,0.5,3.0
newsgroups,mmd,sliding,100,gradual,0.25,1.0,0.4,136.0,17710.0,0.002536,0.0,354.6667,0.5,3.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002536,0.0,354.6667,0.5,4.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,134.5,25825.0,0.002536,0.0,354.6667,0.5,1.3333
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,15.0,417.6667,2.0,1.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,176.0,22537.0,0.0,15.0,417.6667,2.0,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,15.0,417.6667,2.0,1.0
